locus_tag	ftype	length_bp	gene	EC_number	COG	product
MNONLJBP_01192	CDS	4467	ppsE	2.3.1.41	COG3321	Phthiocerol synthesis polyketide synthase type I PpsE
MNONLJBP_01193	CDS	5484	ppsD	2.3.1.41	COG3321	Phthiocerol synthesis polyketide synthase type I PpsD
MNONLJBP_01194	CDS	6567	ppsC	2.3.1.41		Phthiocerol synthesis polyketide synthase type I PpsC
MNONLJBP_01195	CDS	4830	ppsB	2.3.1.41	COG3321	Phthiocerol synthesis polyketide synthase type I PpsB
MNONLJBP_01196	CDS	1752		6.2.1.-	COG0318	Long-chain-fatty-acid--AMP ligase FadD26
MNONLJBP_01197	CDS	786	tesA	3.1.2.-	COG3208	putative thioesterase TesA
MNONLJBP_01198	CDS	738			COG3599	putative protein
MNONLJBP_01199	CDS	588			COG1399	putative protein
MNONLJBP_01200	CDS	723	rnc	3.1.26.3	COG0571	Ribonuclease 3
MNONLJBP_01201	CDS	1488	ahcY	3.3.1.1	COG0499	Adenosylhomocysteinase
MNONLJBP_01202	CDS	636				hypothetical protein
MNONLJBP_01203	CDS	183	rubA		COG1773	Rubredoxin
MNONLJBP_01204	CDS	171	alkG			Rubredoxin-2
MNONLJBP_01205	CDS	1251	alkB	1.14.15.3		Alkane 1-monooxygenase
MNONLJBP_01206	CDS	1488	yhdG_1		COG0531	putative amino acid permease YhdG
MNONLJBP_01207	CDS	1389				putative protein
MNONLJBP_01208	CDS	1227	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase
MNONLJBP_01209	CDS	1041				hypothetical protein
MNONLJBP_01210	CDS	1398	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
MNONLJBP_01211	CDS	492				hypothetical protein
MNONLJBP_01212	CDS	420				hypothetical protein
MNONLJBP_01213	CDS	372	whiB			Transcriptional regulator WhiB
MNONLJBP_01214	CDS	996	fbiA	2.7.8.28	COG0391	Phosphoenolpyruvate transferase
MNONLJBP_01215	CDS	1347	fbiB		COG0778	Bifunctional F420 biosynthesis protein FbiB
MNONLJBP_01216	CDS	114				hypothetical protein
MNONLJBP_01217	CDS	1590		2.1.1.72		Modification methylase Eco57IB
MNONLJBP_01218	CDS	1056	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
MNONLJBP_01219	CDS	924	wbbL	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
MNONLJBP_01220	CDS	915	rmlD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
MNONLJBP_01221	CDS	1494	lcpA_1		COG1316	Cell wall biosynthesis protein LcpA
MNONLJBP_01222	CDS	741				hypothetical protein
MNONLJBP_01223	CDS	282				putative protein
MNONLJBP_01224	CDS	2157	ctpC	3.6.3.-	COG2217	Manganese-exporting P-type ATPase
MNONLJBP_01225	CDS	669				hypothetical protein
MNONLJBP_01226	CDS	1185		2.8.3.-	COG1804	putative fatty acyl-CoA transferase
MNONLJBP_01227	CDS	2271				hypothetical protein
MNONLJBP_01228	CDS	1170		1.3.99.-	COG1960	putative acyl-CoA dehydrogenase fadE25
MNONLJBP_01229	CDS	525	purE_1	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
MNONLJBP_01230	CDS	1227	purK_1	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
MNONLJBP_01231	CDS	819				hypothetical protein
MNONLJBP_01232	CDS	519				hypothetical protein
MNONLJBP_01233	CDS	801	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
MNONLJBP_01234	CDS	1674	accD5_1	6.4.1.3	COG4799	putative propionyl-CoA carboxylase beta chain 5
MNONLJBP_01235	CDS	393				hypothetical protein
MNONLJBP_01236	CDS	669		3.6.1.9	COG0424	Nucleoside triphosphate pyrophosphatase
MNONLJBP_01237	CDS	966	sseA	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseA
MNONLJBP_01238	CDS	432			COG2166	putative SufE-like protein
MNONLJBP_01239	CDS	1803	carB_1			Carbamoyl-phosphate synthase large chain
MNONLJBP_01240	CDS	723	sigF		COG1191	RNA polymerase sigma factor SigF
MNONLJBP_01241	CDS	438	rsbW		COG2172	Anti-sigma-F factor RsbW
MNONLJBP_01242	CDS	312				hypothetical protein
MNONLJBP_01243	CDS	378				hypothetical protein
MNONLJBP_01244	CDS	1269	lat	2.6.1.36	COG0160	putative L-lysine-epsilon aminotransferase
MNONLJBP_01245	CDS	453				hypothetical protein
MNONLJBP_01246	CDS	1248			COG5383	putative protein
MNONLJBP_01247	CDS	1485	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)]
MNONLJBP_01248	CDS	750			COG1373	putative protein
MNONLJBP_01249	CDS	666				hypothetical protein
MNONLJBP_01250	CDS	4542	srmB	3.6.4.13		ATP-dependent RNA helicase SrmB
MNONLJBP_01251	CDS	768	nei1_1	3.2.2.-	COG0266	Endonuclease 8 1
MNONLJBP_01252	CDS	900				hypothetical protein
MNONLJBP_01253	CDS	2910				hypothetical protein
MNONLJBP_01254	CDS	918				hypothetical protein
MNONLJBP_01255	CDS	666	phoU1		COG0704	Phosphate-specific transport system accessory protein PhoU 
MNONLJBP_01256	CDS	1758	glpD2	1.1.5.3	COG0578	Glycerol-3-phosphate dehydrogenase 2
MNONLJBP_01257	CDS	1416	lpdA_1	1.6.5.2	COG1249	NAD(P)H dehydrogenase (quinone)
MNONLJBP_01258	CDS	600				hypothetical protein
MNONLJBP_01259	CDS	1170	scmP	3.5.1.-	COG1473	N-acetylcysteine deacetylase
MNONLJBP_01260	CDS	1146		3.5.1.47		N-acetyldiaminopimelate deacetylase
MNONLJBP_01261	CDS	807	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase
MNONLJBP_01262	CDS	1605		5.4.2.8	COG1109	putative phosphomannomutase
MNONLJBP_01263	CDS	624	upp_1	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
MNONLJBP_01264	CDS	900	sapM	3.1.3.64		Phosphatidylinositol-3-phosphatase
MNONLJBP_01265	CDS	1263				hypothetical protein
MNONLJBP_01266	CDS	933				hypothetical protein
MNONLJBP_01267	CDS	171				hypothetical protein
MNONLJBP_01268	CDS	312	mtp			Pilin
MNONLJBP_01269	CDS	1098	add	3.5.4.4	COG1816	Adenosine deaminase
MNONLJBP_01270	CDS	1284	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
MNONLJBP_01271	CDS	402	cdd	3.5.4.5	COG0295	Cytidine deaminase
MNONLJBP_01272	CDS	339	sdhC		COG2009	Succinate dehydrogenase 2 membrane subunit SdhC
MNONLJBP_01273	CDS	435				hypothetical protein
MNONLJBP_01274	CDS	1749	sdhA_1	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
MNONLJBP_01275	CDS	792	sdhB_1	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
MNONLJBP_01276	CDS	429		3.1.-.-		Ribonuclease VapC44
MNONLJBP_01277	CDS	243				hypothetical protein
MNONLJBP_01278	CDS	615				hypothetical protein
MNONLJBP_01279	CDS	666				hypothetical protein
MNONLJBP_01280	CDS	534	moaC1_2	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase 1
MNONLJBP_01281	CDS	375		4.2.1.96		Putative pterin-4-alpha-carbinolamine dehydratase
MNONLJBP_01282	CDS	1137	moaA1_2	4.1.99.22	COG2896	GTP 3',8-cyclase 1
MNONLJBP_01283	CDS	1146	embR_1		COG1716	Transcriptional regulatory protein EmbR
MNONLJBP_01284	CDS	588				hypothetical protein
MNONLJBP_01285	CDS	516				hypothetical protein
MNONLJBP_01286	CDS	435				hypothetical protein
MNONLJBP_01287	CDS	390				hypothetical protein
MNONLJBP_01288	CDS	1803		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
MNONLJBP_01289	CDS	1158	pimB	2.4.1.346	COG0438	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
MNONLJBP_01290	CDS	744				hypothetical protein
MNONLJBP_01291	CDS	1182				hypothetical protein
MNONLJBP_01292	CDS	279				hypothetical protein
MNONLJBP_01293	CDS	1944		3.1.-.-	COG0322	Putative bifunctional exonuclease/endonuclease protein
MNONLJBP_01294	CDS	1113	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
MNONLJBP_01295	CDS	543	ctaE	1.9.3.1	COG1845	putative cytochrome c oxidase subunit 3
MNONLJBP_01296	CDS	843	qcrC	7.1.1.8	COG2010	Cytochrome bc1 complex cytochrome c subunit
MNONLJBP_01297	CDS	1212	qcrA		COG0723	Cytochrome bc1 complex Rieske iron-sulfur subunit
MNONLJBP_01298	CDS	1650	qcrB	7.1.1.8	COG1290	Cytochrome bc1 complex cytochrome b subunit
MNONLJBP_01299	CDS	645				putative protein
MNONLJBP_01300	CDS	900	mmpS3_1			putative transport accessory protein MmpS3
MNONLJBP_01301	CDS	420	ctaF	1.9.3.1		Cytochrome c oxidase polypeptide 4
MNONLJBP_01302	CDS	987	ctaC	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
MNONLJBP_01303	CDS	1959	asnB	6.3.5.4	COG0367	Putative asparagine synthetase [glutamine-hydrolyzing]
MNONLJBP_01304	CDS	975	adoK	2.7.1.20	COG0524	Adenosine kinase
MNONLJBP_01305	CDS	693				putative protein
MNONLJBP_01306	CDS	357				Protein
MNONLJBP_01307	CDS	1146			COG1929	putative protein
MNONLJBP_01308	CDS	495				putative protein
MNONLJBP_01309	CDS	93				hypothetical protein
MNONLJBP_01310	CDS	1086	cobT	2.4.2.21	COG2038	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
MNONLJBP_01311	CDS	747	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
MNONLJBP_01312	CDS	1539				hypothetical protein
MNONLJBP_01313	CDS	1107	ilvE_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
MNONLJBP_01314	CDS	1104	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
MNONLJBP_01315	CDS	1167				putative protein
MNONLJBP_01316	CDS	1548	pepA	3.4.11.1	COG0260	putative cytosol aminopeptidase
MNONLJBP_01317	CDS	1779	ephD_1	1.-.-.-	COG1028	putative oxidoreductase EphD
MNONLJBP_01318	CDS	1662	dlaT	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
MNONLJBP_01319	CDS	906			COG1090	Epimerase family protein
MNONLJBP_01320	CDS	693	lipB	2.3.1.181	COG0321	Octanoyltransferase
MNONLJBP_01321	CDS	936	lipA	2.8.1.8	COG0320	Lipoyl synthase
MNONLJBP_01322	CDS	753				putative protein
MNONLJBP_01323	CDS	423				hypothetical protein
MNONLJBP_01324	CDS	1437	glnA1	6.3.1.2	COG0174	Glutamine synthetase
MNONLJBP_01325	CDS	2985	glnE_1		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
MNONLJBP_01326	CDS	1341	glnA2_1	6.3.1.2	COG0174	Glutamine synthetase
MNONLJBP_01327	CDS	1554	caeB_1	3.1.1.-		Carboxylesterase B
MNONLJBP_01328	CDS	1557	caeA	3.1.1.-		Carboxylesterase A
MNONLJBP_01329	CDS	846	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
MNONLJBP_01330	CDS	1542				putative protein
MNONLJBP_01331	CDS	228				hypothetical protein
MNONLJBP_01332	CDS	486				hypothetical protein
MNONLJBP_01333	CDS	1095			COG0328	Bifunctional protein
MNONLJBP_01334	CDS	738			COG1579	putative protein
MNONLJBP_01335	CDS	1140			COG0327	GTP cyclohydrolase 1 type 2 
MNONLJBP_01336	CDS	1095		2.6.1.-	COG0079	putative aminotransferase
MNONLJBP_01337	CDS	177				hypothetical protein
MNONLJBP_01338	CDS	633			COG0546	putative protein
MNONLJBP_01339	CDS	492	ptpA	3.1.3.48	COG0394	putative low molecular weight protein-tyrosine-phosphatase
MNONLJBP_01340	CDS	816			COG3346	putative SURF1-like protein
MNONLJBP_01341	CDS	960	cobD		COG1270	Cobalamin biosynthesis protein CobD
MNONLJBP_01342	CDS	816			COG3662	putative protein
MNONLJBP_01343	CDS	126				hypothetical protein
MNONLJBP_01344	tRNA	74				tRNA-Val(tac)
MNONLJBP_01345	CDS	462	ahpE	1.11.1.15	COG1225	Alkyl hydroperoxide reductase E
MNONLJBP_01346	CDS	423				putative protein
MNONLJBP_01347	CDS	570				putative protein
MNONLJBP_01348	CDS	2793	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
MNONLJBP_01349	CDS	1245			COG2508	putative protein
MNONLJBP_01350	CDS	909	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
MNONLJBP_01351	CDS	348	acpM		COG0236	Meromycolate extension acyl carrier protein
MNONLJBP_01352	CDS	1251	kasA	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
MNONLJBP_01353	CDS	1317	kasB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
MNONLJBP_01354	CDS	1422	accD6	6.4.1.3	COG4799	putative propionyl-CoA carboxylase beta chain 6
MNONLJBP_01355	CDS	888				hypothetical protein
MNONLJBP_01356	CDS	1545	glpD1	1.1.5.3	COG0578	Glycerol-3-phosphate dehydrogenase 1
MNONLJBP_01357	CDS	570				putative HTH-type transcriptional regulator
MNONLJBP_01358	CDS	1590				hypothetical protein
MNONLJBP_01359	CDS	930	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
MNONLJBP_01360	CDS	504				hypothetical protein
MNONLJBP_01361	CDS	411				hypothetical protein
MNONLJBP_01362	CDS	219				hypothetical protein
MNONLJBP_01363	CDS	513				hypothetical protein
MNONLJBP_01364	CDS	819				hypothetical protein
MNONLJBP_01365	CDS	1062	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
MNONLJBP_01366	CDS	663				putative protein
MNONLJBP_01367	CDS	786				putative protein
MNONLJBP_01368	CDS	1962			COG1366	putative protein
MNONLJBP_01369	CDS	387	rsfA_1		COG1366	Anti-sigma-F factor antagonist RsfA
MNONLJBP_01370	CDS	792			COG2357	putative protein
MNONLJBP_01371	CDS	228				hypothetical protein
MNONLJBP_01372	CDS	1206			COG1680	putative protein
MNONLJBP_01373	CDS	786	lprF			Putative diacylated glycolipid transporter LprF
MNONLJBP_01374	CDS	1470				hypothetical protein
MNONLJBP_01375	CDS	1182		2.3.1.-	COG3424	Alpha-pyrone synthesis polyketide synthase-like Pks18
MNONLJBP_01376	CDS	981		2.8.2.-		Glycolipid sulfotransferase
MNONLJBP_01377	CDS	1320				hypothetical protein
MNONLJBP_01378	CDS	1494				hypothetical protein
MNONLJBP_01379	CDS	681				putative protein
MNONLJBP_01380	CDS	1290				hypothetical protein
MNONLJBP_01381	CDS	582	pyrR		COG2065	Bifunctional protein PyrR
MNONLJBP_01382	CDS	960	pyrB_1	2.1.3.2	COG0540	Aspartate carbamoyltransferase
MNONLJBP_01383	CDS	1293	pyrC	3.5.2.3	COG0044	Dihydroorotase
MNONLJBP_01384	CDS	498				hypothetical protein
MNONLJBP_01385	CDS	1131	carA_1	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
MNONLJBP_01386	CDS	3348	carB_2	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
MNONLJBP_01387	CDS	825	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
MNONLJBP_01388	CDS	309				PE family immunomodulator PE15
MNONLJBP_01389	CDS	1620				putative PPE family protein PPE20
MNONLJBP_01390	CDS	318				hypothetical protein
MNONLJBP_01391	CDS	627	gmk_1	2.7.4.8	COG0194	Guanylate kinase
MNONLJBP_01392	CDS	333	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
MNONLJBP_01393	CDS	1257	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
MNONLJBP_01394	CDS	1212	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
MNONLJBP_01395	CDS	1479		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
MNONLJBP_01396	CDS	1386		1.14.-.-		Putative cytochrome P450 132
MNONLJBP_01397	CDS	1035				putative HTH-type transcriptional regulator
MNONLJBP_01398	CDS	1137				hypothetical protein
MNONLJBP_01399	CDS	480				hypothetical protein
MNONLJBP_01400	CDS	402		3.1.-.-	COG1487	Ribonuclease VapC10
MNONLJBP_01401	CDS	258				Putative antitoxin VapB10
MNONLJBP_01402	CDS	960	nlhH_2	3.1.1.1	COG0657	Carboxylesterase NlhH
MNONLJBP_01403	CDS	963	nlhH_3	3.1.1.1	COG0657	Carboxylesterase NlhH
MNONLJBP_01404	CDS	696			COG3714	putative membrane protein
MNONLJBP_01405	CDS	1968	priA_1	3.6.4.-	COG1198	putative primosomal protein N'
MNONLJBP_01406	CDS	825				putative protein
MNONLJBP_01407	CDS	528				hypothetical protein
MNONLJBP_01408	tRNA	87				tRNA-Leu(aag)
MNONLJBP_01409	CDS	939	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
MNONLJBP_01410	CDS	1374		2.1.1.-	COG0144	Putative methyltransferase
MNONLJBP_01411	CDS	690	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
MNONLJBP_01412	CDS	1020	ribD		COG0117	Riboflavin biosynthesis protein RibD
MNONLJBP_01413	CDS	1557				putative triacylglyceride transporter
MNONLJBP_01414	CDS	720	lprG			Lipoarabinomannan carrier protein LprG
MNONLJBP_01415	CDS	573	ribE	2.5.1.9	COG0307	Riboflavin synthase
MNONLJBP_01416	CDS	516				hypothetical protein
MNONLJBP_01417	CDS	402				hypothetical protein
MNONLJBP_01418	CDS	1278	ribBA_1		COG0108	Riboflavin biosynthesis protein RibBA
MNONLJBP_01419	CDS	483	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
MNONLJBP_01420	CDS	465				putative protein
MNONLJBP_01421	CDS	630	lprH			Putative lipoprotein LprH
MNONLJBP_01422	CDS	474				putative protein
MNONLJBP_01423	CDS	1941	uvrC_1		COG0322	UvrABC system protein C
MNONLJBP_01424	CDS	906			COG1660	Nucleotide-binding protein
MNONLJBP_01425	CDS	1029			COG0391	Putative gluconeogenesis factor
MNONLJBP_01426	CDS	978	whiA		COG1481	putative cell division protein WhiA
MNONLJBP_01427	CDS	609				putative protein
MNONLJBP_01428	CDS	1320		2.3.1.20		Putative diacyglycerol O-acyltransferase
MNONLJBP_01429	CDS	1263				hypothetical protein
MNONLJBP_01430	CDS	1608	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MNONLJBP_01431	CDS	828			COG0204	putative protein
MNONLJBP_01432	CDS	1269				hypothetical protein
MNONLJBP_01433	CDS	1587		3.1.1.-		Esterase PE16
MNONLJBP_01434	CDS	1770				hypothetical protein
MNONLJBP_01435	CDS	1422	thi4	2.4.2.59		Thiamine thiazole synthase
MNONLJBP_01436	CDS	816		2.3.2.-	COG1376	putative L,D-transpeptidase 3
MNONLJBP_01437	CDS	144				hypothetical protein
MNONLJBP_01438	CDS	621				hypothetical protein
MNONLJBP_01439	CDS	1020	gap	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
MNONLJBP_01440	CDS	1239	pgk_1	2.7.2.3	COG0126	Phosphoglycerate kinase
MNONLJBP_01441	CDS	786	tpiA_1	5.3.1.1	COG0149	Triosephosphate isomerase
MNONLJBP_01442	CDS	228				hypothetical protein
MNONLJBP_01443	CDS	420				hypothetical protein
MNONLJBP_01444	CDS	165				hypothetical protein
MNONLJBP_01445	CDS	354				hypothetical protein
MNONLJBP_01446	CDS	399				PE-PGRS family protein PE_PGRS26
MNONLJBP_01447	CDS	375				hypothetical protein
MNONLJBP_01448	CDS	1128				hypothetical protein
MNONLJBP_01449	CDS	264				hypothetical protein
MNONLJBP_01450	CDS	255				hypothetical protein
MNONLJBP_01451	CDS	876	espI_1		COG0455	ESX-1 secretion-associated protein EspI
MNONLJBP_01452	CDS	291	whiB6			putative transcriptional regulator WhiB6
MNONLJBP_01453	CDS	1113				hypothetical protein
MNONLJBP_01454	CDS	1209	espE			ESX-1 secretion-associated protein EspE
MNONLJBP_01455	CDS	312	espF			ESX-1 secretion-associated protein EspF
MNONLJBP_01456	CDS	852	espG1			ESX-1 secretion-associated protein EspG1
MNONLJBP_01457	CDS	552	espH			ESX-1 secretion-associated protein EspH
MNONLJBP_01458	CDS	1722	eccA1		COG0464	ESX-1 secretion system protein EccA1
MNONLJBP_01459	CDS	1443	eccB1	3.6.-.-		ESX-1 secretion system ATPase EccB1
MNONLJBP_01460	CDS	2244	eccCa1		COG1674	ESX-1 secretion system protein EccCa1
MNONLJBP_01461	CDS	117				hypothetical protein
MNONLJBP_01462	CDS	1776	eccCb1		COG1674	ESX-1 secretion system protein EccCb1
MNONLJBP_01463	CDS	297				PE family immunomodulator PE35
MNONLJBP_01464	CDS	1107				PPE family immunomodulator PPE68
MNONLJBP_01465	CDS	303	esxB			ESAT-6-like protein EsxB
MNONLJBP_01466	CDS	288	esxA		COG4842	6 kDa early secretory antigenic target
MNONLJBP_01467	CDS	402				hypothetical protein
MNONLJBP_01468	CDS	927	espI_2		COG0455	ESX-1 secretion-associated protein EspI
MNONLJBP_01469	CDS	1464	eccD1_1			ESX-1 secretion system protein EccD1
MNONLJBP_01470	CDS	843	espJ			ESX-1 secretion-associated protein EspJ
MNONLJBP_01471	CDS	2226	espK			ESX-1 secretion-associated protein EspK
MNONLJBP_01472	CDS	348	espL			ESX-1 secretion-associated protein EspL
MNONLJBP_01473	CDS	1383	espB			ESX-1 secretion-associated protein EspB
MNONLJBP_01474	CDS	1389	eccE1			ESX-1 secretion system protein EccE1
MNONLJBP_01475	CDS	1371	mycP1	3.4.21.-	COG1404	Mycosin-1
MNONLJBP_01476	CDS	414	eccA2_1		COG0464	ESX-2 secretion system protein EccA2
MNONLJBP_01477	CDS	1371	eccA2_2		COG0464	ESX-2 secretion system protein EccA2
MNONLJBP_01478	CDS	1614	eccE2			ESX-2 secretion system protein EccE2
MNONLJBP_01479	CDS	1029	mycP2_1	3.4.21.-	COG1404	Mycosin-2
MNONLJBP_01480	CDS	570	mycP2_2	3.4.21.-	COG1404	Mycosin-2
MNONLJBP_01481	CDS	1530	eccD2			ESX-2 secretion system protein eccD2
MNONLJBP_01482	CDS	1026	espI_3		COG0455	ESX-1 secretion-associated protein EspI
MNONLJBP_01483	CDS	831				hypothetical protein
MNONLJBP_01484	CDS	288	esxC		COG4842	ESAT-6-like protein EsxC
MNONLJBP_01485	CDS	324	esxD			ESAT-6-like protein EsxD
MNONLJBP_01486	CDS	1131				hypothetical protein
MNONLJBP_01487	CDS	234				hypothetical protein
MNONLJBP_01488	CDS	4191	eccC5_1		COG1674	ESX-5 secretion system protein EccC5
MNONLJBP_01489	CDS	1488	eccB2	3.6.-.-		ESX-2 secretion system ATPase EccB2
MNONLJBP_01490	CDS	909				hypothetical protein
MNONLJBP_01491	CDS	645				hypothetical protein
MNONLJBP_01492	CDS	333				hypothetical protein
MNONLJBP_01493	CDS	717				putative protein
MNONLJBP_01494	CDS	297				hypothetical protein
MNONLJBP_01495	CDS	933				hypothetical protein
MNONLJBP_01496	CDS	354				hypothetical protein
MNONLJBP_01497	CDS	141				hypothetical protein
MNONLJBP_01498	CDS	531				Immunity factor for TNT
MNONLJBP_01499	CDS	2541	cpnT			Outer membrane channel protein CpnT
MNONLJBP_01500	CDS	291	esxE			ESAT-6-like protein EsxE
MNONLJBP_01501	CDS	312	esxF			ESAT-6-like protein EsxF
MNONLJBP_01502	CDS	510				hypothetical protein
MNONLJBP_01503	CDS	1443	cca	2.7.7.72		CCA-adding enzyme
MNONLJBP_01504	CDS	663	mutT4_1	3.6.1.-	COG0494	Putative mutator protein MutT4
MNONLJBP_01505	CDS	2409				hypothetical protein
MNONLJBP_01506	CDS	3555	mviN		COG0728	putative peptidoglycan biosynthesis protein MviN
MNONLJBP_01507	CDS	591	sigM			ECF RNA polymerase sigma factor SigM
MNONLJBP_01508	CDS	765	rsmA			Anti-sigma-M factor RsmA
MNONLJBP_01509	CDS	1008	trxB_1	1.8.1.9	COG0492	Thioredoxin reductase
MNONLJBP_01510	CDS	351	trxA		COG0526	Thioredoxin
MNONLJBP_01511	CDS	1221	cwlM	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase CwlM
MNONLJBP_01512	CDS	735				hypothetical protein
MNONLJBP_01513	CDS	1035	parB		COG1475	putative chromosome-partitioning protein ParB
MNONLJBP_01514	CDS	1044	nifH	1.18.6.1		Nitrogenase iron protein
MNONLJBP_01515	CDS	675	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
MNONLJBP_01516	CDS	564				hypothetical protein
MNONLJBP_01517	CDS	1101	yidC		COG0706	Membrane protein insertase YidC
MNONLJBP_01518	CDS	1524	dnaA		COG0593	Chromosomal replication initiator protein DnaA
MNONLJBP_01519	CDS	744		2.1.1.-	COG4122	Putative O-methyltransferase
MNONLJBP_01520	CDS	774	sigE		COG1595	ECF RNA polymerase sigma factor SigE
MNONLJBP_01521	CDS	465	rseA			Anti-sigma-E factor RseA
MNONLJBP_01522	CDS	1575				hypothetical protein
MNONLJBP_01523	CDS	396	tatB			Sec-independent protein translocase protein TatB
MNONLJBP_01524	CDS	831	hdpA	3.1.3.-		Dihydroxyacetone phosphatase
MNONLJBP_01525	CDS	1464				hypothetical protein
MNONLJBP_01526	CDS	435				hypothetical protein
MNONLJBP_01527	CDS	558				hypothetical protein
MNONLJBP_01528	CDS	159				hypothetical protein
MNONLJBP_01529	CDS	1146	mrp_1		COG0489	Iron-sulfur cluster carrier protein
MNONLJBP_01530	CDS	1236				hypothetical protein
MNONLJBP_01531	CDS	543				hypothetical protein
MNONLJBP_01532	CDS	1308				hypothetical protein
MNONLJBP_01533	CDS	297				hypothetical protein
MNONLJBP_01534	CDS	528				hypothetical protein
MNONLJBP_01535	CDS	1407	lpqY		COG1653	Trehalose-binding lipoprotein LpqY
MNONLJBP_01536	CDS	924	sugA		COG1175	Trehalose transport system permease protein SugA
MNONLJBP_01537	CDS	849	sugB		COG0395	Trehalose transport system permease protein SugB
MNONLJBP_01538	CDS	1182	sugC	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
MNONLJBP_01539	CDS	1101	corA		COG0598	Cobalt/magnesium transport protein CorA
MNONLJBP_01540	CDS	990	mdh	1.1.1.37	COG0039	Malate dehydrogenase
MNONLJBP_01541	CDS	270				Antitoxin VapB33
MNONLJBP_01542	CDS	432		3.1.-.-	COG1848	Ribonuclease VapC33
MNONLJBP_01543	CDS	1689				hypothetical protein
MNONLJBP_01544	CDS	936				hypothetical protein
MNONLJBP_01545	CDS	831	sadH_3	1.-.-.-		Putative oxidoreductase SadH
MNONLJBP_01546	CDS	294	relE	3.1.-.-	COG2026	Toxin RelE
MNONLJBP_01547	CDS	270	relB		COG2161	Antitoxin RelB
MNONLJBP_01548	CDS	3696	kgd	2.2.1.5	COG0508	Multifunctional 2-oxoglutarate metabolism enzyme
MNONLJBP_01549	CDS	789				hypothetical protein
MNONLJBP_01550	CDS	1740	bmr3			Multidrug resistance protein 3
MNONLJBP_01551	CDS	3420				hypothetical protein
MNONLJBP_01552	CDS	561	lprE			Putative lipoprotein LprE
MNONLJBP_01553	CDS	1692	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
MNONLJBP_01554	CDS	1152				hypothetical protein
